,uid,fips,country,state,county,lat,long,pop19,region,dispID,date,date_lag,Rt_plot,Rt_upr,Rt_lwr,Rt_loess_fit,Rt_loess_lwr,Rt_loess_upr,positiveIncrease,positive,positive_7day,positive_percapita,positiveIncr_percapita,deathIncrease,death,death_percapita,deathIncr_percapita
3313,84004021,4021,US,Arizona,Pinal,32.90525627,-111.3449483,462789,AZ,"Pinal, Arizona",8/8/2020,8/3/2020,0.345175309,0.393279208,0.300169251,0.741019898,0.657883098,0.8241566990000001,29,8356,29.0,18055.74463,62.66354645,-1,156,337.08666370000003,-2.160811947
1199,84005031,5031,US,Arkansas,Craighead,35.83018283,-90.63235729,110332,AR,"Craighead, Arkansas",8/8/2020,8/3/2020,1.22164325,1.383409559,1.069805915,0.9864341879999999,0.890826187,1.082042189,18,1336,33.14285714,12108.907659999999,163.1439655,0,12,108.7626437,0.0
2256,84006029,6029,US,California,Kern,35.34329425,-118.72777959999999,900202,CA,"Kern, California",8/8/2020,8/3/2020,0.642809822,0.667077765,0.618985466,1.041995417,0.9265996609999999,1.157391173,617,22626,392.0,25134.35873,685.4017209,11,171,189.95736509999998,12.21947963
3766,84006071,6071,US,California,San Bernardino,34.84060306,-116.1774685,2180085,CA,"San Bernardino, California",8/8/2020,8/3/2020,0.683892828,0.7096550140000001,0.658600525,0.986057229,0.886738047,1.08537641,513,35452,393.7142857,16261.75126,235.3119259,5,502,230.2662511,2.293488557
4068,84006099,6099,US,California,Stanislaus,37.55862499,-120.9970722,550660,CA,"Stanislaus, California",8/8/2020,8/3/2020,0.69842493,0.7520057659999999,0.646798141,1.130405042,0.970468613,1.290341472,158,9566,96.57142857,17371.881019999997,286.92841319999997,10,161,292.376421,18.16002615
1501,84008031,8031,US,Colorado,DENVER,39.76018276,-104.87256950000001,727211,CO,"Denver, Colorado",8/8/2020,8/3/2020,0.858401515,0.936790063,0.783393075,0.908489518,0.8407906009999999,0.976188435,51,10173,68.57142857,13989.062319999999,70.13095236,0,414,569.2983192,0.0
4823,84009003,9003,US,Connecticut,Windham,41.82972709,-71.98182316,116782,CT,"Hartford, Connecticut",8/8/2020,8/3/2020,0.507330383,0.603293662,0.41957605,0.889332225,0.795717845,0.9829466040000001,0,12761,16.57142857,14310.545909999999,0.0,0,1415,1586.820975,0.0
3162,84012095,12095,US,Florida,Orange,28.51367621,-81.31799498,1393452,FL,"Orange, Florida",8/8/2020,8/3/2020,0.738999339,0.772330078,0.706393905,0.760920794,0.65764694,0.864194647,369,31395,275.57142860000005,22530.3778,264.8099827,10,297,213.13974219999997,7.176422295
2105,84013153,13153,US,Georgia,Houston,32.45802497,-83.66879087,157863,GA,"Houston, Georgia",8/8/2020,8/3/2020,0.797237964,0.9105790770000001,0.691333682,0.958741526,0.897601623,1.019881429,50,1948,28.85714286,12339.81364,316.7303295,4,58,367.40718219999997,25.33842636
1048,84017031,17031,US,Illinois,Cook,41.84144849,-87.81658794,5150233,IL,"Cook, Illinois",8/8/2020,8/3/2020,1.114167712,1.146125002,1.0826561540000001,1.08603941,0.990212932,1.181865889,863,110865,676.2857142999999,21526.21056,167.5652344,4,4924,956.0732495,0.776663891
4521,84017019,17019,US,Illinois,Vermilion,40.18417171,-87.73384359,75758,IL,"Champaign, Illinois",8/8/2020,8/3/2020,1.003325085,1.1695525709999999,0.849678378,0.916153152,0.828756843,1.003549461,38,1663,21.42857143,7930.792745000001,181.22076030000002,0,19,90.61038013,0.0
897,84018097,18097,US,Indiana,Clinton,40.30319754,-86.47277257,32399,IN,"Marion, Indiana",8/8/2020,8/3/2020,1.096535499,1.1615588159999999,1.033360083,1.072525626,0.94449117,1.200560082,198,15701,160.4285714,16277.5171,205.2702621,0,725,751.6209094,0.0
2558,84019113,19113,US,Iowa,Linn,42.07923082,-91.59809485,226706,IA,"Linn, Iowa",8/8/2020,8/3/2020,1.037280496,1.161116265,0.920337465,0.992043505,0.878255674,1.1058313370000001,34,2348,40.57142857,10357.02628,149.9739751,0,87,383.7569363,0.0
3917,84020177,20177,US,Kansas,Shawnee,39.04100763,-95.75572640000001,176875,KS,"Shawnee, Kansas",8/8/2020,8/3/2020,1.001429107,1.187567345,0.8309593190000001,1.048793515,0.992992877,1.104594153,0,1509,17.14285714,8531.448763,0.0,0,19,107.42049469999999,0.0
1954,84024025,24025,US,Maryland,Harford,39.55010644,-76.30775940000001,255441,MD,"Harford, Maryland",8/8/2020,8/3/2020,0.7975208340000001,0.9278731590000001,0.67691074,1.019916588,0.9565638959999999,1.08326928,12,1934,22.0,7571.219969,46.97757995,0,69,270.1210847,0.0
3011,84025025,25025,US,Massachusetts,Norfolk,42.16073095,-71.20530408,706775,MA,"Suffolk, Massachusetts",8/8/2020,8/3/2020,1.068832574,1.16452613,0.9771878270000001,1.0204507870000001,0.938292318,1.1026092570000001,61,21778,71.28571429,27090.198239999998,75.87942386,2,1073,1334.731505,2.487849963
293,84029019,29019,US,Missouri,Boone,38.99186229,-92.30723575,180463,MI,"Boone, Missouri",8/8/2020,8/3/2020,0.56939061,0.673884899,0.473589651,1.0007412759999998,0.9174229559999999,1.084059595,0,1328,17.57142857,7358.849181999999,0.0,0,3,16.62390629,0.0
444,84036067,36067,US,New York,Broome,42.15903158,-75.81326086,190488,NY,"Onondaga, New York",8/8/2020,8/3/2020,0.9350002070000001,1.1390031870000001,0.750881942,0.941154699,0.8422300540000001,1.040079345,9,3565,12.57142857,7741.114547,19.54278567,0,200,434.28412599999996,0.0
2860,84037119,37119,US,North Carolina,Mecklenburg,35.24469268,-80.8317671,1110356,NC,"Mecklenburg, North Carolina",8/8/2020,8/3/2020,0.865194855,0.91129868,0.820271764,0.834265059,0.7321056020000001,0.936424516,190,22066,198.1428571,19872.90563,171.11629059999999,1,226,203.5383246,0.9006120559999999
4219,84039151,39151,US,Ohio,Stark,40.81482476,-81.36437305,370606,OH,"Stark, Ohio",8/8/2020,8/3/2020,0.99955176,1.16402858,0.8474446459999999,1.048109929,0.996231128,1.0999887309999998,30,1813,21.71428571,4891.987717,80.94850056,0,139,375.06138589999995,0.0
4672,84039153,39153,US,Ohio,Wayne,40.82925852,-81.88844833,115710,OH,"Summit, Ohio",8/8/2020,8/3/2020,0.981889404,1.0937904040000002,0.8759485640000001,0.983140118,0.9017156709999999,1.064564565,37,3523,44.42857143,6511.8583100000005,68.39022353,2,222,410.3413412,3.6967688389999998
2709,84042069,42069,US,Pennsylvania,Lycoming,41.34310539,-77.06629984,113299,PA,"Lackawanna, Pennsylvania",8/8/2020,8/3/2020,-88.0,,,,,,5,1927,4.1428571430000005,9190.457567,23.84654273,0,212,1011.093412,0.0
4974,84042133,42133,US,Pennsylvania,York,39.9210089,-76.73040131,449058,PA,"York, Pennsylvania",8/8/2020,8/3/2020,1.1921717920000001,1.3563195940000001,1.038475772,1.135872048,1.050074239,1.221669857,16,2501,30.71428571,5569.436465,35.63014132,0,93,207.10019640000002,0.0
1803,84001089,1089,US,Tennessee,Giles,35.20222469,-87.03992678,29464,TN,"Madison, Alabama",8/8/2020,8/3/2020,0.785856392,0.856358915,0.718342699,0.767515712,0.67164734,0.863384085,64,5314,71.0,14250.125369999998,171.6236401,3,33,88.49343942,8.044858129
2407,84001089,1089,US,Tennessee,Lincoln,35.13738622,-86.58910106,34366,TN,"Madison, Alabama",8/8/2020,8/3/2020,0.785856392,0.856358915,0.718342699,0.767515712,0.67164734,0.863384085,64,5314,71.0,14250.125369999998,171.6236401,3,33,88.49343942,8.044858129
142,84048029,48029,US,Texas,Bexar,29.44928723,-98.52019748,2003554,TX,"Bexar, Texas",8/8/2020,8/3/2020,0.468224994,0.490550504,0.44641245399999996,0.647399022,0.541191784,0.75360626,232,42531,246.8571429,21227.77824,115.79423359999998,34,773,385.8144078,16.96984459
1350,84048113,48113,US,Texas,Dallas,32.76670599,-96.77796049999999,2635516,TX,"Dallas, Texas",8/8/2020,8/3/2020,0.763006176,0.789492904,0.736965265,0.959908561,0.863345678,1.056471443,540,53831,463.0,20425.22223,204.893463,5,751,284.9536865,1.897161694
1652,84048157,48157,US,Texas,Fort Bend,29.52704478,-95.77219463,811688,TX,"Fort Bend, Texas",8/8/2020,8/3/2020,1.9093983769999998,1.9857092969999999,1.83456253,1.280993676,1.145316163,1.416671189,382,9533,350.14285710000007,11744.66051,470.6241807,3,161,198.3520762,3.696001419
4370,84048439,48439,US,Texas,Tarrant,32.77143818,-97.29101614,2102515,TX,"Tarrant, Texas",8/8/2020,8/3/2020,0.749749862,0.77934495,0.72071992,0.939178691,0.841125893,1.037231489,272,30922,358.85714289999993,14707.14834,129.3688749,8,445,211.65128430000004,3.8049669089999996
3615,84049035,49035,US,Utah,Salt Lake,40.66616532,-111.92160109999999,1160437,UT,"Salt Lake, Utah",8/8/2020,8/3/2020,0.903162598,0.954754535,0.852984515,0.895419724,0.84564928,0.945190168,159,20446,172.71428569999998,17619.22448,137.0173478,0,189,162.8696775,0.0
595,84051003,51003,US,Virginia,Campbell,37.20553386,-79.09678609,54885,VA,"Albemarle, Virginia",8/8/2020,8/3/2020,1.359550633,1.6494394719999999,1.097332826,1.170447544,1.039312337,1.301582751,16,833,13.14285714,7619.13473,146.34592519999998,0,16,146.34592519999998,0.0
746,84053011,53011,US,Washington,Clark,45.77568046,-122.48292040000001,488241,WA,"Clark, Washington",8/8/2020,8/3/2020,0.971266959,1.094043635,0.855703448,0.978612808,0.7140757320000001,1.243149885,18,1767,36.28571429,3619.114331,36.86703902,0,43,88.07125989,0.0
3464,84055025,55025,US,Wisconsin,Rock,42.67151616,-89.07147900000001,163354,WI,"Dane, Wisconsin",8/8/2020,8/3/2020,1.0468426640000001,1.154535956,0.944353219,0.897718183,0.773937014,1.021499353,56,4492,54.28571429,8216.647308,102.43371529999999,0,38,69.50859254,0.0
